county,state,year,type_of_dissent,detail,who_drove_it,source
Cochise,AZ,2022-2024,certification refusal + hand count,Two of three Republican supervisors refused to certify 2022 results; pushed hand count for 2024,Sitting Rep. supervisors,Brookings / Votebeat
Mohave,AZ,2023-2024,hand count proposal (rejected),All-R board voted 3-2 against hand count after AG warning,Sitting supervisor + state senator,Votebeat / AZ Mirror
Maricopa,AZ,2020-2024,sustained election challenges,Multiple lawsuits, audit, ongoing pressure on board,County GOP / activists,multiple
Shasta,CA,2022-2024,hand count plan + Dominion cancellation,Board canceled Dominion contract; hand count plan blocked by state,Sitting R supervisors,Democracy Docket / NPR
Mesa,CO,2021-2024,voting machine breach,Clerk Tina Peters convicted for facilitating breach,County clerk,multiple
Ben Hill,GA,2024,certification interference risk,Identified by Brookings as higher-risk county,Sitting board members,Brookings
Columbia,GA,2024,certification + voter roll challenges,EagleAI creator lives here; challenges launched,Activist + officials,GA Recorder
Cobb,GA,2023-2024,certification refusal,R appointee Debbie Fisher voted against certification,Sitting board member,Democracy Docket
DeKalb,GA,2023,certification refusal,R members Jester and Lewis refused to certify,Sitting board members,Democracy Docket
Fulton,GA,2024,certification lawsuit,Julie Adams sued for right to refuse certification,Sitting board member,Democracy Docket
Lincoln,GA,2024,certification risk,Identified by Brookings/CREW,Sitting board members,Brookings / CREW
Macon-Bibb,GA,2024,mass voter roll challenges,Chair Sumrall challenged 791 registrations via EagleAI,County party chair,NPR
Montgomery,GA,2024,certification risk,Identified by Brookings,Sitting board members,Brookings
Morgan,GA,2024,certification risk,Identified by Brookings,Sitting board members,Brookings
Spalding,GA,2023-2024,certification refusal,R member Roy McClain refused to certify Nov 2023,Sitting board member,Democracy Docket
Troup,GA,2024,certification risk,Identified by Brookings,Sitting board members,Brookings
Wilkes,GA,2024,certification risk,Identified by Brookings,Sitting board members,Brookings
Delta,MI,2024,certification refusal,Board members Hakkola and Oman refused special recall results,Sitting board members,Democracy Docket
Wayne,MI,2020,certification refusal,Palmer and Hartmann initially refused to certify 2020,Sitting board members,Brookings
Elko,NV,2024,certification refusal risk,Identified by CREW,Sitting board members,CREW
Esmeralda,NV,2024,hand counting,317 ballots hand counted in primary; pressure for general,Board of commissioners,All Voting is Local
Nye,NV,2022-2024,hand counting,2022 hand count widely covered; ended after clerk resigned,County clerk,CBS News
Washoe,NV,2024,certification refusal,3 of 5 board members initially refused to certify primary recount,Sitting board members,Brookings
Berks,PA,2022-2024,certification refusal,Court-ordered compliance in 2022,Sitting board members,Brookings
Fayette,PA,2022-2024,certification refusal,Court-ordered compliance in 2022,Sitting board members,Brookings
Lancaster,PA,2022-2024,certification refusal,Court-ordered compliance in 2022,Sitting board members,Brookings
Northampton,PA,2024,certification risk,Identified by CREW,Sitting board members,CREW
Dallas,TX,2025-2026,hand count plan,R county party raised $400K+ to hand count March 2026 primary,County GOP,Votebeat
Denton,TX,2024-2025,hand count consideration,Considered hand counting plans,County GOP,NBC News
Eastland,TX,2024,hand count plan,R county party approved plan for 2024 primary,County GOP,NBC News
Gillespie,TX,2024-2026,hand count execution,Hand counted 8,000+ ballots; errors in 12 of 13 precincts,County GOP,Votebeat
Hays,TX,2024,hand count plan,R county party approved hand counting,County GOP,NBC News
Orange,TX,2024,hand count plan,R county party approved hand counting,County GOP,NBC News
Tarrant,TX,2024,election fraud task force,Sheriff + DA launched task force; clerk forced out,Sheriff + DA,Bolts
Travis,TX,2024,partial hand count,R party hand counted 2,000 mail-in ballots,County GOP,Votebeat
Williamson,TX,2024-2025,hand count consideration,Considered but declined for 2026,County GOP,Votebeat
Weston,WY,2024,hand count proposal,Committee presented hand-count plan to commissioners,Local committee,Gillette News Record
