date,jurisdiction,state,county,doc_type,title,text,url,year,month,tokens,kw_count,kw_per_1k,has_keyword
2022-01-04,Denver County,CO,Denver County,agenda,Special Session Agenda,Health department report on vaccination rates and public health initiatives. Debate over ballot drop box locations for the upcoming election. Staff report on road maintenance and bridge inspection schedule. Election canvassing procedures reviewed by the county clerk. Animal control contract renewal discussed and approved. Discussion on voting machine certification standards for the upcoming election.,https://agendawatch.org/docs/co/denver_county/20220104/,2022,2022-01,"['health', 'vaccination', 'rates', 'health', 'initiatives', 'debate', 'ballot', 'drop', 'box', 'locations', 'upcoming', 'election', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'election', 'canvassing', 'procedures', 'reviewed', 'clerk', 'animal', 'control', 'contract', 'renewal', 'discussed', 'voting', 'machine', 'certification', 'standards', 'upcoming', 'election']",3,90.9091,True
2022-01-23,Denver County,CO,Denver County,minutes,Regular Meeting Minutes,Planning commission update on development applications received. Health department report on vaccination rates and public health initiatives. Animal control contract renewal discussed and approved. Animal control contract renewal discussed and approved. Staff report on road maintenance and bridge inspection schedule. Animal control contract renewal discussed and approved. Discussion of the county parks and recreation master plan.,https://agendawatch.org/docs/co/denver_county/20220123/,2022,2022-01,"['planning', 'update', 'development', 'applications', 'received', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'animal', 'control', 'contract', 'renewal', 'discussed', 'animal', 'control', 'contract', 'renewal', 'discussed', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'animal', 'control', 'contract', 'renewal', 'discussed', 'parks', 'recreation', 'master', 'plan']",0,0.0,False
2022-01-12,Denver County,CO,Denver County,agenda,Work Session Minutes,Staff report on road maintenance and bridge inspection schedule. Discussion of the county parks and recreation master plan. Discussion of the county parks and recreation master plan. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Animal control contract renewal discussed and approved. School board liaison report on enrollment trends. The board approved the FY2024 budget with a 3% increase in infrastructure spending.,https://agendawatch.org/docs/co/denver_county/20220112/,2022,2022-01,"['road', 'maintenance', 'bridge', 'inspection', 'schedule', 'parks', 'recreation', 'master', 'plan', 'parks', 'recreation', 'master', 'plan', 'budget', 'increase', 'infrastructure', 'spending', 'animal', 'control', 'contract', 'renewal', 'discussed', 'school', 'liaison', 'enrollment', 'trends', 'budget', 'increase', 'infrastructure', 'spending', 'work']",0,0.0,False
2022-01-25,El Paso County,CO,El Paso County,agenda,Work Session Minutes,Claims of widespread fraud in the 2020 election were raised by three residents. Animal control contract renewal discussed and approved. Health department report on vaccination rates and public health initiatives. Water utility rate increase approved following public comment period.,https://agendawatch.org/docs/co/el_paso_county/20220125/,2022,2022-01,"['claims', 'widespread', 'fraud', 'election', 'raised', 'residents', 'animal', 'control', 'contract', 'renewal', 'discussed', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'water', 'utility', 'rate', 'increase', 'period', 'work']",1,45.4545,True
2022-01-23,Arapahoe County,CO,Arapahoe County,minutes,Board Meeting Agenda,School board liaison report on enrollment trends. Tax increment financing district proposed for downtown revitalization. Animal control contract renewal discussed and approved. Emergency services dispatch modernization project update. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Library millage rate discussion and public comment. Discussion of the county parks and recreation master plan. Public hearing on zoning variance for the proposed commercial development.,https://agendawatch.org/docs/co/arapahoe_county/20220123/,2022,2022-01,"['school', 'liaison', 'enrollment', 'trends', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'animal', 'control', 'contract', 'renewal', 'discussed', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'budget', 'increase', 'infrastructure', 'spending', 'library', 'millage', 'rate', 'parks', 'recreation', 'master', 'plan', 'zoning', 'variance', 'proposed', 'commercial', 'development']",0,0.0,False
2022-01-03,Arapahoe County,CO,Arapahoe County,agenda,Commission Meeting Minutes,The commission approved the budget for election administration. The election of new board members was conducted according to Robert's Rules. Animal control contract renewal discussed and approved. The board voted on certifying the election results. Public hearing on zoning variance for the proposed commercial development. Discussion of the county parks and recreation master plan.,https://agendawatch.org/docs/co/arapahoe_county/20220103/,2022,2022-01,"['budget', 'election', 'administration', 'election', 'members', 'conducted', 'according', 'robert', 'rules', 'animal', 'control', 'contract', 'renewal', 'discussed', 'voted', 'certifying', 'election', 'results', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'parks', 'recreation', 'master', 'plan']",3,111.1111,True
2022-01-08,Jefferson County,CO,Jefferson County,agenda,Regular Meeting Minutes,Library millage rate discussion and public comment. Staff report on road maintenance and bridge inspection schedule. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Staff report on road maintenance and bridge inspection schedule.,https://agendawatch.org/docs/co/jefferson_county/20220108/,2022,2022-01,"['library', 'millage', 'rate', 'road', 'maintenance', 'bridge', 'inspection', 'schedule', 'budget', 'increase', 'infrastructure', 'spending', 'road', 'maintenance', 'bridge', 'inspection', 'schedule']",0,0.0,False
2022-01-13,Jefferson County,CO,Jefferson County,minutes,Special Session Agenda,The board approved the FY2024 budget with a 3% increase in infrastructure spending. School board liaison report on enrollment trends. Library millage rate discussion and public comment. Tax increment financing district proposed for downtown revitalization. Health department report on vaccination rates and public health initiatives. Tax increment financing district proposed for downtown revitalization.,https://agendawatch.org/docs/co/jefferson_county/20220113/,2022,2022-01,"['budget', 'increase', 'infrastructure', 'spending', 'school', 'liaison', 'enrollment', 'trends', 'library', 'millage', 'rate', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization']",0,0.0,False
2022-01-01,Boulder County,CO,Boulder County,minutes,Regular Meeting Minutes,Health department report on vaccination rates and public health initiatives. Discussion of the county parks and recreation master plan. Emergency services dispatch modernization project update. Discussion of the county parks and recreation master plan. Health department report on vaccination rates and public health initiatives. Library millage rate discussion and public comment. Emergency services dispatch modernization project update. Public hearing on zoning variance for the proposed commercial development.,https://agendawatch.org/docs/co/boulder_county/20220101/,2022,2022-01,"['health', 'vaccination', 'rates', 'health', 'initiatives', 'parks', 'recreation', 'master', 'plan', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'parks', 'recreation', 'master', 'plan', 'health', 'vaccination', 'rates', 'health', 'initiatives', 'library', 'millage', 'rate', 'emergency', 'services', 'dispatch', 'modernization', 'project', 'update', 'zoning', 'variance', 'proposed', 'commercial', 'development']",0,0.0,False
2022-01-04,Boulder County,CO,Boulder County,agenda,Special Session Agenda,Library millage rate discussion and public comment. The board approved the FY2024 budget with a 3% increase in infrastructure spending. Tax increment financing district proposed for downtown revitalization. Public hearing on zoning variance for the proposed commercial development. Public hearing on zoning variance for the proposed commercial development.,https://agendawatch.org/docs/co/boulder_county/20220104/,2022,2022-01,"['library', 'millage', 'rate', 'budget', 'increase', 'infrastructure', 'spending', 'tax', 'increment', 'financing', 'proposed', 'downtown', 'revitalization', 'zoning', 'variance', 'proposed', 'commercial', 'development', 'zoning', 'variance', 'proposed', 'commercial', 'development']",0,0.0,False
